,Avg.income,Std.income
1/seed=10,186096.35,105033.35480687767
2/seed=20,187079.175,103354.41427512976
3/seed=30,197091.5,118925.75038811773
4/seed=40,186992.25,109051.35284490522
5/seed=50,202680.445,110605.82505431936
6/seed=60,189378.955,115503.24790261629
7/seed=70,191046.73,102649.22814821466
8/seed=80,185997.175,102493.72004075827
9/seed=90,190350.045,94900.04152787787
10/seed=100,177926.04,91561.00524698045
11/seed=11,183899.535,99858.85376497694
12/seed=21,183362.925,91865.83902774048
13/seed=31,182204.855,93348.26679818485
14/seed=41,184557.62,91943.71134621542
15/seed=51,180430.455,95324.22606363574
16/seed=61,184359.21,111310.15464417635
17/seed=71,200405.66,106818.4995402696
18/seed=81,176661.52,94495.42813752456
19/seed=91,199357.71,127714.51402483156
20/seed=101,191889.455,98840.32591489564
21/seed=12,185364.75,96491.92077126532
22/seed=22,188680.35,96664.36217001687
23/seed=32,200963.17,106464.42987110767
24/seed=42,178114.18,101784.81374998034
25/seed=52,187152.92,99266.53323186505
26/seed=62,185157.815,104500.5047065342
27/seed=72,183548.225,100223.39024241196
28/seed=82,195832.72,98921.49948526695
29/seed=92,198520.93,107297.05203331682
30/seed=102,192500.36,112505.08651464942
stratifiedrs_30,188586.76766666668,188586.76766666668
